station_name,date,hour,population
ikebukuro,2024/11/14,4,4971
ikebukuro,2024/11/14,5,5314
ikebukuro,2024/11/14,6,7371
ikebukuro,2024/11/14,7,14571
ikebukuro,2024/11/14,8,23486
ikebukuro,2024/11/14,9,22800
ikebukuro,2024/11/14,10,25543
ikebukuro,2024/11/14,11,29576
ikebukuro,2024/11/14,12,34225
ikebukuro,2024/11/14,13,36671
ikebukuro,2024/11/14,14,36617
ikebukuro,2024/11/14,15,38304
ikebukuro,2024/11/14,16,40770
ikebukuro,2024/11/14,17,44400
ikebukuro,2024/11/14,18,50914
ikebukuro,2024/11/14,19,51257
ikebukuro,2024/11/14,20,44057
ikebukuro,2024/11/14,21,36169
ikebukuro,2024/11/14,22,28071
ikebukuro,2024/11/14,23,20786
ikebukuro,2024/11/14,24,11657
ikebukuro,2024/11/15,1,7500
ikebukuro,2024/11/15,2,7071
ikebukuro,2024/11/15,3,6643
ikebukuro,2024/11/15,4,6643
ikebukuro,2024/11/15,5,7071
ikebukuro,2024/11/15,6,7500
ikebukuro,2024/11/15,7,9643
ikebukuro,2024/11/15,8,13071
ikebukuro,2024/11/15,9,17786
ikebukuro,2024/11/15,10,25929
ikebukuro,2024/11/15,11,35404
ikebukuro,2024/11/15,12,43371
ikebukuro,2024/11/15,13,48480
ikebukuro,2024/11/15,14,49218
ikebukuro,2024/11/15,15,51214
ikebukuro,2024/11/15,16,51643
ikebukuro,2024/11/15,17,52500
ikebukuro,2024/11/15,18,51214
ikebukuro,2024/11/15,19,46500
ikebukuro,2024/11/15,20,40071
ikebukuro,2024/11/15,21,34071
ikebukuro,2024/11/15,22,NA
ikebukuro,2024/11/15,23,19371
ikebukuro,2024/11/15,24,10800
ikebukuro,2024/11/16,1,7371
ikebukuro,2024/11/16,2,7029
ikebukuro,2024/11/16,3,7029
ikebukuro,2024/11/16,4,6686
ikebukuro,2024/11/16,5,7029
ikebukuro,2024/11/16,6,7029
ikebukuro,2024/11/16,7,8400
ikebukuro,2024/11/16,8,10800
ikebukuro,2024/11/16,9,16286
ikebukuro,2024/11/16,10,24171
ikebukuro,2024/11/16,11,33429
ikebukuro,2024/11/16,12,40629
ikebukuro,2024/11/16,13,45086
ikebukuro,2024/11/16,14,46742
ikebukuro,2024/11/16,15,47983
ikebukuro,2024/11/16,16,48171
ikebukuro,2024/11/16,17,46384
ikebukuro,2024/11/16,18,42727
ikebukuro,2024/11/16,19,36030
ikebukuro,2024/11/16,20,30091
ikebukuro,2024/11/16,21,24655
ikebukuro,2024/11/16,22,18343
ikebukuro,2024/11/16,23,NA
ikebukuro,2024/11/17,0,NA
ikebukuro,2024/11/17,1,4629
ikebukuro,2024/11/17,2,4629
ikebukuro,2024/11/17,3,4629
ikebukuro,2024/11/17,4,4629
ikebukuro,2024/11/17,5,5314
ikebukuro,2024/11/17,6,7371
ikebukuro,2024/11/17,7,14571
ikebukuro,2024/11/17,8,23143
ikebukuro,2024/11/17,9,22800
ikebukuro,2024/11/17,10,24514
ikebukuro,2024/11/17,11,27600
ikebukuro,2024/11/17,12,32057
ikebukuro,2024/11/17,13,34114
ikebukuro,2024/11/17,14,33086
ikebukuro,2024/11/17,15,34800
ikebukuro,2024/11/17,16,35829
ikebukuro,2024/11/17,17,39943
ikebukuro,2024/11/17,18,43371
ikebukuro,2024/11/17,19,41314
ikebukuro,2024/11/17,20,32743
ikebukuro,2024/11/17,21,25200
ikebukuro,2024/11/17,22,18343
ikebukuro,2024/11/17,23,12171
ikebukuro,2024/11/17,24,7029
ikebukuro,2024/11/18,1,4971
ikebukuro,2024/11/18,2,4971
ikebukuro,2024/11/18,3,4629
ikebukuro,2024/11/18,4,4629
ikebukuro,2024/11/18,5,5314
ikebukuro,2024/11/18,6,7371
ikebukuro,2024/11/18,7,14914
ikebukuro,2024/11/18,8,23829
ikebukuro,2024/11/18,9,22114
ikebukuro,2024/11/18,10,24171
ikebukuro,2024/11/18,11,27257
ikebukuro,2024/11/18,12,32340
ikebukuro,2024/11/18,13,34873
ikebukuro,2024/11/18,14,33086
ikebukuro,2024/11/18,15,34457
ikebukuro,2024/11/18,16,36306
ikebukuro,2024/11/18,17,40116
ikebukuro,2024/11/18,18,44467
ikebukuro,2024/11/18,19,42033
ikebukuro,2024/11/18,20,33756
ikebukuro,2024/11/18,21,26795
ikebukuro,2024/11/18,22,20400
ikebukuro,2024/11/18,23,13543
ikebukuro,2024/11/18,24,7714
ikebukuro,2024/11/19,1,5314
ikebukuro,2024/11/19,2,4971
ikebukuro,2024/11/19,3,4971
ikebukuro,2024/11/19,4,4971
ikebukuro,2024/11/19,5,5314
ikebukuro,2024/11/19,6,7371
ikebukuro,2024/11/19,7,14914
ikebukuro,2024/11/19,8,23486
ikebukuro,2024/11/19,9,22457
ikebukuro,2024/11/19,10,25200
ikebukuro,2024/11/19,11,28629
ikebukuro,2024/11/19,12,33771
ikebukuro,2024/11/19,13,36171
ikebukuro,2024/11/19,14,35143
ikebukuro,2024/11/19,15,36171
ikebukuro,2024/11/19,16,37543
ikebukuro,2024/11/19,17,42343
ikebukuro,2024/11/19,18,46800
ikebukuro,2024/11/19,19,44013
ikebukuro,2024/11/19,20,36388
ikebukuro,2024/11/19,21,28770
ikebukuro,2024/11/19,22,21086
ikebukuro,2024/11/19,23,14571
ikebukuro,2024/11/19,24,8057
ikebukuro,2024/11/20,1,5314
ikebukuro,2024/11/20,2,5314
ikebukuro,2024/11/20,3,5314
ikebukuro,2024/11/20,4,5314
ikebukuro,2024/11/20,5,5657
ikebukuro,2024/11/20,6,7371
ikebukuro,2024/11/20,7,14914
ikebukuro,2024/11/20,8,23829
ikebukuro,2024/11/20,9,22800
ikebukuro,2024/11/20,10,25200
ikebukuro,2024/11/20,11,28629
ikebukuro,2024/11/20,12,33086
ikebukuro,2024/11/20,13,35486
ikebukuro,2024/11/20,14,34457
ikebukuro,2024/11/20,15,36200
ikebukuro,2024/11/20,16,37831
ikebukuro,2024/11/20,17,42608
ikebukuro,2024/11/20,18,46006
ikebukuro,2024/11/20,19,43637
ikebukuro,2024/11/20,20,35998
ikebukuro,2024/11/20,21,29274
ikebukuro,2024/11/20,22,NA
ikebukuro,2024/11/20,23,14571
ikebukuro,2024/11/20,24,8057
ikebukuro,2024/11/21,1,5657
ikebukuro,2024/11/21,2,5314
ikebukuro,2024/11/21,3,5314
ikebukuro,2024/11/21,4,4971
ikebukuro,2024/11/21,5,5657
ikebukuro,2024/11/21,6,7714
ikebukuro,2024/11/21,7,14571
ikebukuro,2024/11/21,8,23486
ikebukuro,2024/11/21,9,22457
ikebukuro,2024/11/21,10,26229
ikebukuro,2024/11/21,11,29314
ikebukuro,2024/11/21,12,34800
ikebukuro,2024/11/21,13,37543
ikebukuro,2024/11/21,14,36514
ikebukuro,2024/11/21,15,38571
ikebukuro,2024/11/21,16,40286
ikebukuro,2024/11/21,17,44400
ikebukuro,2024/11/21,18,49886
ikebukuro,2024/11/21,19,50229
ikebukuro,2024/11/21,20,42929
ikebukuro,2024/11/21,21,36265
ikebukuro,2024/11/21,22,28500
ikebukuro,2024/11/21,23,20786
ikebukuro,2024/11/21,24,11786
ikebukuro,2024/11/22,1,7500
ikebukuro,2024/11/22,2,7071
ikebukuro,2024/11/22,3,7071
ikebukuro,2024/11/22,4,7071
ikebukuro,2024/11/22,5,7071
ikebukuro,2024/11/22,6,7071
ikebukuro,2024/11/22,7,9214
ikebukuro,2024/11/22,8,13071
ikebukuro,2024/11/22,9,17357
ikebukuro,2024/11/22,10,26357
ikebukuro,2024/11/22,11,35357
ikebukuro,2024/11/22,12,42214
ikebukuro,2024/11/22,13,47786
ikebukuro,2024/11/22,14,48643
ikebukuro,2024/11/22,15,49929
ikebukuro,2024/11/22,16,51030
ikebukuro,2024/11/22,17,52156
ikebukuro,2024/11/22,18,50233
ikebukuro,2024/11/22,19,45710
ikebukuro,2024/11/22,20,39074
ikebukuro,2024/11/22,21,31833
ikebukuro,2024/11/22,22,25200
ikebukuro,2024/11/22,23,18000
ikebukuro,2024/11/22,24,10114
ikebukuro,2024/11/23,1,7714
ikebukuro,2024/11/23,2,7029
ikebukuro,2024/11/23,3,7371
ikebukuro,2024/11/23,4,6686
ikebukuro,2024/11/23,5,7029
ikebukuro,2024/11/23,6,7371
ikebukuro,2024/11/23,7,8400
ikebukuro,2024/11/23,8,11143
ikebukuro,2024/11/23,9,16286
ikebukuro,2024/11/23,10,24857
ikebukuro,2024/11/23,11,33794
ikebukuro,2024/11/23,12,39943
ikebukuro,2024/11/23,13,43714
ikebukuro,2024/11/23,14,45771
ikebukuro,2024/11/23,15,46800
ikebukuro,2024/11/23,16,48171
ikebukuro,2024/11/23,17,48514
ikebukuro,2024/11/23,18,46114
ikebukuro,2024/11/23,19,41314
ikebukuro,2024/11/23,20,35486
ikebukuro,2024/11/23,21,29314
ikebukuro,2024/11/23,22,NA
ikebukuro,2024/11/23,23,15943
ikebukuro,2024/11/23,24,8743
ikebukuro,2024/11/24,1,6343
ikebukuro,2024/11/24,2,6000
ikebukuro,2024/11/24,3,5657
ikebukuro,2024/11/24,4,6000
ikebukuro,2024/11/24,5,6000
ikebukuro,2024/11/24,6,6343
ikebukuro,2024/11/24,7,8400
ikebukuro,2024/11/24,8,11486
ikebukuro,2024/11/24,9,15943
ikebukuro,2024/11/24,10,23486
ikebukuro,2024/11/24,11,31029
ikebukuro,2024/11/24,12,37543
ikebukuro,2024/11/24,13,40629
ikebukuro,2024/11/24,14,42000
ikebukuro,2024/11/24,15,42686
ikebukuro,2024/11/24,16,42000
ikebukuro,2024/11/24,17,42000
ikebukuro,2024/11/24,18,37886
ikebukuro,2024/11/24,19,34114
ikebukuro,2024/11/24,20,27600
ikebukuro,2024/11/24,21,22114
ikebukuro,2024/11/24,22,16629
ikebukuro,2024/11/24,23,11486
ikebukuro,2024/11/24,24,6686
ikebukuro,2024/11/25,1,4971
ikebukuro,2024/11/25,2,4629
ikebukuro,2024/11/25,3,4629
ikebukuro,2024/11/25,4,4629
ikebukuro,2024/11/25,5,5314
ikebukuro,2024/11/25,6,7714
ikebukuro,2024/11/25,7,15257
ikebukuro,2024/11/25,8,24857
ikebukuro,2024/11/25,9,22457
ikebukuro,2024/11/25,10,24171
ikebukuro,2024/11/25,11,27943
ikebukuro,2024/11/25,12,32743
ikebukuro,2024/11/25,13,34457
ikebukuro,2024/11/25,14,33429
ikebukuro,2024/11/25,15,34457
ikebukuro,2024/11/25,16,36514
ikebukuro,2024/11/25,17,39943
ikebukuro,2024/11/25,18,44057
ikebukuro,2024/11/25,19,41314
ikebukuro,2024/11/25,20,33086
ikebukuro,2024/11/25,21,26229
ikebukuro,2024/11/25,22,19371
ikebukuro,2024/11/25,23,13543
ikebukuro,2024/11/25,24,7371
ikebukuro,2024/11/26,1,5314
ikebukuro,2024/11/26,2,4971
ikebukuro,2024/11/26,3,4971
ikebukuro,2024/11/26,4,4971
ikebukuro,2024/11/26,5,5657
ikebukuro,2024/11/26,6,7371
ikebukuro,2024/11/26,7,15257
ikebukuro,2024/11/26,8,26229
ikebukuro,2024/11/26,9,23829
ikebukuro,2024/11/26,10,24514
ikebukuro,2024/11/26,11,27943
ikebukuro,2024/11/26,12,32400
ikebukuro,2024/11/26,13,34800
ikebukuro,2024/11/26,14,34114
ikebukuro,2024/11/26,15,35486
ikebukuro,2024/11/26,16,37886
ikebukuro,2024/11/26,17,40971
ikebukuro,2024/11/26,18,46800
ikebukuro,2024/11/26,19,44400
ikebukuro,2024/11/26,20,36171
ikebukuro,2024/11/26,21,28834
