datetime,station_name,population,hour_of_day,day_of_week,is_fake,was_missing
2024-11-14 04:00:00,0,4971.0,4,3,0,0
2024-11-14 05:00:00,0,5314.0,5,3,0,0
2024-11-14 06:00:00,0,7371.0,6,3,0,0
2024-11-14 07:00:00,0,14571.0,7,3,0,0
2024-11-14 08:00:00,0,23486.0,8,3,0,0
2024-11-14 09:00:00,0,22800.0,9,3,0,0
2024-11-14 10:00:00,0,25543.0,10,3,0,0
2024-11-14 11:00:00,0,29576.0,11,3,0,0
2024-11-14 12:00:00,0,34225.0,12,3,0,0
2024-11-14 13:00:00,0,36671.0,13,3,0,0
2024-11-14 14:00:00,0,36617.0,14,3,0,0
2024-11-14 15:00:00,0,38304.0,15,3,0,0
2024-11-14 16:00:00,0,40770.0,16,3,0,0
2024-11-14 17:00:00,0,44400.0,17,3,0,0
2024-11-14 18:00:00,0,50914.0,18,3,0,0
2024-11-14 19:00:00,0,51257.0,19,3,0,0
2024-11-14 20:00:00,0,44057.0,20,3,0,0
2024-11-14 21:00:00,0,36169.0,21,3,0,0
2024-11-14 22:00:00,0,28071.0,22,3,0,0
2024-11-14 23:00:00,0,20786.0,23,3,0,0
2024-11-15 00:00:00,0,11657.0,0,4,0,0
2024-11-15 01:00:00,0,7500.0,1,4,0,0
2024-11-15 02:00:00,0,7071.0,2,4,0,0
2024-11-15 03:00:00,0,6643.0,3,4,0,0
2024-11-15 04:00:00,0,6643.0,4,4,0,0
2024-11-15 05:00:00,0,7071.0,5,4,0,0
2024-11-15 06:00:00,0,7500.0,6,4,0,0
2024-11-15 07:00:00,0,9643.0,7,4,0,0
2024-11-15 08:00:00,0,13071.0,8,4,0,0
2024-11-15 09:00:00,0,17786.0,9,4,0,0
2024-11-15 10:00:00,0,25929.0,10,4,0,0
2024-11-15 11:00:00,0,35404.0,11,4,0,0
2024-11-15 12:00:00,0,43371.0,12,4,0,0
2024-11-15 13:00:00,0,48480.0,13,4,0,0
2024-11-15 14:00:00,0,49218.0,14,4,0,0
2024-11-15 15:00:00,0,51214.0,15,4,0,0
2024-11-15 16:00:00,0,51643.0,16,4,0,0
2024-11-15 17:00:00,0,52500.0,17,4,0,0
2024-11-15 18:00:00,0,51214.0,18,4,0,0
2024-11-15 19:00:00,0,46500.0,19,4,0,0
2024-11-15 20:00:00,0,40071.0,20,4,0,0
2024-11-15 21:00:00,0,34071.0,21,4,0,0
2024-11-15 22:00:00,0,26721.0,22,4,0,1
2024-11-15 23:00:00,0,19371.0,23,4,0,0
2024-11-16 00:00:00,0,10800.0,0,5,0,0
2024-11-16 01:00:00,0,7371.0,1,5,0,0
2024-11-16 02:00:00,0,7029.0,2,5,0,0
2024-11-16 03:00:00,0,7029.0,3,5,0,0
2024-11-16 04:00:00,0,6686.0,4,5,0,0
2024-11-16 05:00:00,0,7029.0,5,5,0,0
2024-11-16 06:00:00,0,7029.0,6,5,0,0
2024-11-16 07:00:00,0,8400.0,7,5,0,0
2024-11-16 08:00:00,0,10800.0,8,5,0,0
2024-11-16 09:00:00,0,16286.0,9,5,0,0
2024-11-16 10:00:00,0,24171.0,10,5,0,0
2024-11-16 11:00:00,0,33429.0,11,5,0,0
2024-11-16 12:00:00,0,40629.0,12,5,0,0
2024-11-16 13:00:00,0,45086.0,13,5,0,0
2024-11-16 14:00:00,0,46742.0,14,5,0,0
2024-11-16 15:00:00,0,47983.0,15,5,0,0
2024-11-16 16:00:00,0,48171.0,16,5,0,0
2024-11-16 17:00:00,0,46384.0,17,5,0,0
2024-11-16 18:00:00,0,42727.0,18,5,0,0
2024-11-16 19:00:00,0,36030.0,19,5,0,0
2024-11-16 20:00:00,0,30091.0,20,5,0,0
2024-11-16 21:00:00,0,24655.0,21,5,0,0
2024-11-16 22:00:00,0,18343.0,22,5,0,0
2024-11-16 23:00:00,0,13771.666666666668,23,5,0,1
2024-11-17 00:00:00,0,9200.333333333334,0,6,0,1
2024-11-17 01:00:00,0,4629.0,1,6,0,0
2024-11-17 02:00:00,0,4629.0,2,6,0,0
2024-11-17 03:00:00,0,4629.0,3,6,0,0
2024-11-17 04:00:00,0,4629.0,4,6,0,0
2024-11-17 05:00:00,0,5314.0,5,6,0,0
2024-11-17 06:00:00,0,7371.0,6,6,0,0
2024-11-17 07:00:00,0,14571.0,7,6,0,0
2024-11-17 08:00:00,0,23143.0,8,6,0,0
2024-11-17 09:00:00,0,22800.0,9,6,0,0
2024-11-17 10:00:00,0,24514.0,10,6,0,0
2024-11-17 11:00:00,0,27600.0,11,6,0,0
2024-11-17 12:00:00,0,32057.0,12,6,0,0
2024-11-17 13:00:00,0,34114.0,13,6,0,0
2024-11-17 14:00:00,0,33086.0,14,6,0,0
2024-11-17 15:00:00,0,34800.0,15,6,0,0
2024-11-17 16:00:00,0,35829.0,16,6,0,0
2024-11-17 17:00:00,0,39943.0,17,6,0,0
2024-11-17 18:00:00,0,43371.0,18,6,0,0
2024-11-17 19:00:00,0,41314.0,19,6,0,0
2024-11-17 20:00:00,0,32743.0,20,6,0,0
2024-11-17 21:00:00,0,25200.0,21,6,0,0
2024-11-17 22:00:00,0,18343.0,22,6,0,0
2024-11-17 23:00:00,0,12171.0,23,6,0,0
2024-11-18 00:00:00,0,7029.0,0,0,0,0
2024-11-18 01:00:00,0,4971.0,1,0,0,0
2024-11-18 02:00:00,0,4971.0,2,0,0,0
2024-11-18 03:00:00,0,4629.0,3,0,0,0
2024-11-18 04:00:00,0,4629.0,4,0,0,0
2024-11-18 05:00:00,0,5314.0,5,0,0,0
2024-11-18 06:00:00,0,7371.0,6,0,0,0
2024-11-18 07:00:00,0,14914.0,7,0,0,0
2024-11-18 08:00:00,0,23829.0,8,0,0,0
2024-11-18 09:00:00,0,22114.0,9,0,0,0
2024-11-18 10:00:00,0,24171.0,10,0,0,0
2024-11-18 11:00:00,0,27257.0,11,0,0,0
2024-11-18 12:00:00,0,32340.0,12,0,0,0
2024-11-18 13:00:00,0,34873.0,13,0,0,0
2024-11-18 14:00:00,0,33086.0,14,0,0,0
2024-11-18 15:00:00,0,34457.0,15,0,0,0
2024-11-18 16:00:00,0,36306.0,16,0,0,0
2024-11-18 17:00:00,0,40116.0,17,0,0,0
2024-11-18 18:00:00,0,44467.0,18,0,0,0
2024-11-18 19:00:00,0,42033.0,19,0,0,0
2024-11-18 20:00:00,0,33756.0,20,0,0,0
2024-11-18 21:00:00,0,26795.0,21,0,0,0
2024-11-18 22:00:00,0,20400.0,22,0,0,0
2024-11-18 23:00:00,0,13543.0,23,0,0,0
2024-11-19 00:00:00,0,7714.0,0,1,0,0
2024-11-19 01:00:00,0,5314.0,1,1,0,0
2024-11-19 02:00:00,0,4971.0,2,1,0,0
2024-11-19 03:00:00,0,4971.0,3,1,0,0
2024-11-19 04:00:00,0,4971.0,4,1,0,0
2024-11-19 05:00:00,0,5314.0,5,1,0,0
2024-11-19 06:00:00,0,7371.0,6,1,0,0
2024-11-19 07:00:00,0,14914.0,7,1,0,0
2024-11-19 08:00:00,0,23486.0,8,1,0,0
2024-11-19 09:00:00,0,22457.0,9,1,0,0
2024-11-19 10:00:00,0,25200.0,10,1,0,0
2024-11-19 11:00:00,0,28629.0,11,1,0,0
2024-11-19 12:00:00,0,33771.0,12,1,0,0
2024-11-19 13:00:00,0,36171.0,13,1,0,0
2024-11-19 14:00:00,0,35143.0,14,1,0,0
2024-11-19 15:00:00,0,36171.0,15,1,0,0
2024-11-19 16:00:00,0,37543.0,16,1,0,0
2024-11-19 17:00:00,0,42343.0,17,1,0,0
2024-11-19 18:00:00,0,46800.0,18,1,0,0
2024-11-19 19:00:00,0,44013.0,19,1,0,0
2024-11-19 20:00:00,0,36388.0,20,1,0,0
2024-11-19 21:00:00,0,28770.0,21,1,0,0
2024-11-19 22:00:00,0,21086.0,22,1,0,0
2024-11-19 23:00:00,0,14571.0,23,1,0,0
2024-11-20 00:00:00,0,8057.0,0,2,0,0
2024-11-20 01:00:00,0,5314.0,1,2,0,0
2024-11-20 02:00:00,0,5314.0,2,2,0,0
2024-11-20 03:00:00,0,5314.0,3,2,0,0
2024-11-20 04:00:00,0,5314.0,4,2,0,0
2024-11-20 05:00:00,0,5657.0,5,2,0,0
2024-11-20 06:00:00,0,7371.0,6,2,0,0
2024-11-20 07:00:00,0,14914.0,7,2,0,0
2024-11-20 08:00:00,0,23829.0,8,2,0,0
2024-11-20 09:00:00,0,22800.0,9,2,0,0
2024-11-20 10:00:00,0,25200.0,10,2,0,0
2024-11-20 11:00:00,0,28629.0,11,2,0,0
2024-11-20 12:00:00,0,33086.0,12,2,0,0
2024-11-20 13:00:00,0,35486.0,13,2,0,0
2024-11-20 14:00:00,0,34457.0,14,2,0,0
2024-11-20 15:00:00,0,36200.0,15,2,0,0
2024-11-20 16:00:00,0,37831.0,16,2,0,0
2024-11-20 17:00:00,0,42608.0,17,2,0,0
2024-11-20 18:00:00,0,46006.0,18,2,0,0
2024-11-20 19:00:00,0,43637.0,19,2,0,0
2024-11-20 20:00:00,0,35998.0,20,2,0,0
2024-11-20 21:00:00,0,29274.0,21,2,0,0
2024-11-20 22:00:00,0,21922.5,22,2,0,1
2024-11-20 23:00:00,0,14571.0,23,2,0,0
2024-11-21 00:00:00,0,8057.0,0,3,0,0
2024-11-21 01:00:00,0,5657.0,1,3,0,0
2024-11-21 02:00:00,0,5314.0,2,3,0,0
2024-11-21 03:00:00,0,5314.0,3,3,0,0
2024-11-21 04:00:00,0,4971.0,4,3,0,0
2024-11-21 05:00:00,0,5657.0,5,3,0,0
2024-11-21 06:00:00,0,7714.0,6,3,0,0
2024-11-21 07:00:00,0,14571.0,7,3,0,0
2024-11-21 08:00:00,0,23486.0,8,3,0,0
2024-11-21 09:00:00,0,22457.0,9,3,0,0
2024-11-21 10:00:00,0,26229.0,10,3,0,0
2024-11-21 11:00:00,0,29314.0,11,3,0,0
2024-11-21 12:00:00,0,34800.0,12,3,0,0
2024-11-21 13:00:00,0,37543.0,13,3,0,0
2024-11-21 14:00:00,0,36514.0,14,3,0,0
2024-11-21 15:00:00,0,38571.0,15,3,0,0
2024-11-21 16:00:00,0,40286.0,16,3,0,0
